num,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,sort
3005,0.5011,0.5017,0.6587,0.6844,-0.0045,-0.0093,0.0475,0.0522,0.0582,0.0556,-0.0387,-0.0399,0.0095,0.0138,0.0145,0.0063,-0.0411,-0.0433,-0.0153,-0.015,-0.017,-0.0297,-0.0044,-0.0054,0.0059,0.0125,0.0053,-0.0029,2
3006,0.5016,0.5016,0.6482,0.6736,-0.0055,-0.0125,0.0449,0.0518,0.0594,0.0563,-0.0407,-0.0436,0.0094,0.014,0.0137,0.0079,-0.0449,-0.0422,-0.0177,-0.0093,-0.0185,-0.026,-0.0004,-0.0044,0.0063,0.0118,0.0057,-0.004,2
3007,0.5013,0.5015,0.6139,0.6462,-0.0045,-0.0104,0.0463,0.052,0.0634,0.0536,-0.0405,-0.041,0.0088,0.0145,0.0107,0.0095,-0.0491,-0.0434,-0.015,-0.0097,-0.0159,-0.0263,-0.0071,-0.0037,0.0071,0.0103,0.0032,0.0012,2
3008,0.5009,0.5018,0.7068,0.6565,-0.006,-0.0133,0.0432,0.0536,0.0615,0.0544,-0.0394,-0.0416,0.0059,0.0151,0.0222,0.0065,-0.0483,-0.0451,-0.0189,-0.012,-0.0187,-0.0334,-0.0088,-0.0047,0.0086,0.007,0.0046,-0.0024,2
3009,0.501,0.502,0.6093,0.6373,-0.0037,-0.0156,0.046,0.0509,0.0683,0.0563,-0.0402,-0.0415,0.0098,0.0146,0.0204,0.0073,-0.0414,-0.0447,-0.0172,-0.0116,-0.0178,-0.0291,-0.0033,-0.0039,0.0039,0.0111,0.0055,0,2
3010,0.5018,0.5011,0.6454,0.6694,-0.0016,-0.013,0.0442,0.0524,0.0597,0.0571,-0.0411,-0.0403,0.009,0.0142,0.0216,0.0104,-0.0387,-0.0438,-0.0101,-0.0175,-0.0184,-0.0317,-0.0065,-0.0043,0.0069,0.0116,0.0045,-0.0006,2
3011,0.5012,0.5011,0.6161,0.6664,-0.0037,-0.0156,0.0447,0.0501,0.0641,0.0592,-0.0393,-0.0433,0.0064,0.0143,0.0184,0.0082,-0.0482,-0.0441,-0.019,-0.0194,-0.0184,-0.0308,-0.0057,-0.0058,0.0081,0.0113,0.0056,-0.0012,2
3012,0.5014,0.5021,0.6769,0.6381,-0.0055,-0.0127,0.0492,0.056,0.0577,0.0634,-0.0406,-0.0416,0.0099,0.0155,0.0189,0.0095,-0.0468,-0.0429,-0.0228,-0.0158,-0.0197,-0.0245,-0.0068,-0.0043,0.0063,0.0102,0.0058,0.0007,2
3013,0.5011,0.5016,0.6902,0.6614,-0.0027,-0.0139,0.0513,0.0524,0.0664,0.0566,-0.0412,-0.0404,0.0073,0.0161,0.0206,0.0133,-0.0468,-0.0435,-0.0194,-0.0129,-0.0192,-0.0277,-0.0089,-0.0034,0.0076,0.006,0.0065,-0.0047,2
3014,0.5017,0.5011,0.6624,0.66,-0.0045,-0.0058,0.0433,0.0529,0.0636,0.0633,-0.0392,-0.0395,0.0086,0.0138,0.0188,0.0094,-0.0505,-0.0441,-0.0187,-0.019,-0.0175,-0.0313,-0.0093,-0.0047,0.0072,0.0112,0.0048,-0.0054,2
